Label,X,Y,Z
1,3984.246348,601.829085,-2782.113842
2,3969.805296,507.708130,-2383.935962
3,3968.757377,833.011386,-2683.826144
4,3959.432683,608.241686,-2793.082099
5,3974.960696,472.726692,-2375.877211
6,3974.531716,814.773065,-2718.862753
7,4006.546123,614.481187,-2794.844366
8,3980.042556,540.508886,-2427.264118
9,3979.663110,796.127877,-2755.344254
10,4021.914825,641.936404,-2799.949194
11,3939.893763,545.215049,-2406.267228
12,3985.284765,777.668727,-2790.693477
13,4000.249144,653.726175,-2820.039628
14,3998.698550,509.233857,-2410.074601
15,3945.049919,792.249180,-2801.291115
16,3953.520091,647.374556,-2818.137014
17,3933.591209,516.908251,-2378.133917
18,3948.584030,817.721450,-2769.840128
19,3974.327503,665.220350,-2822.653240
20,3930.837645,472.962642,-2363.812718
21,3952.061024,842.856617,-2738.468838
23,4004.707429,470.165359,-2401.196467
24,3980.067331,625.902896,-2814.112385
27,3937.293163,630.735347,-2796.805966
28,3959.281994,324.277536,-2564.127029
29,3945.764819,343.739730,-2602.738378
30,3929.700260,372.179316,-2623.978984
31,3964.243396,391.870740,-2621.805504
32,3992.257569,414.510637,-2604.322329
33,4011.511632,388.648981,-2572.584567
34,3995.112024,353.056792,-2569.956590
35,3976.901699,362.245653,-2601.319544
36,3955.322892,868.814457,-2706.455092
43,3887.969647,874.478918,-2809.263099
44,3791.697466,354.929433,-2260.993337
45,3907.833691,696.674628,-2816.873357
46,4029.060516,400.077495,-2409.755732
47,3869.069609,427.856369,-2540.142920
48,4099.034324,704.900297,-2604.766611
49,3796.774800,698.154713,-2806.104245
50,4023.908673,344.179578,-2498.776307
51,4103.706171,663.117933,-2642.018102
52,4082.314559,355.626282,-2389.571093
53,3746.319105,494.397216,-2403.750950
54,3947.142752,398.438523,-2499.369078
55,3721.240812,394.804013,-2586.416184
56,3843.883711,639.255706,-2491.917356
57,4095.346752,661.744153,-2700.852228
58,4128.696686,360.382283,-2403.864718
59,3850.655102,422.373481,-2614.296807
60,3947.473050,-22.495693,-2485.076037
61,3841.329669,761.933964,-2809.535511
62,3786.752519,896.777845,-2788.196841
63,3615.497142,249.983605,-2470.570511
64,3838.689320,569.631851,-2678.995631
65,3952.211346,773.425120,-2544.144785
66,3924.324729,649.336769,-2749.743218
67,4044.995673,356.421896,-2445.611253
68,3563.107485,56.189637,-2474.932993
69,4199.470636,293.001516,-2517.039379
70,3885.073957,729.006692,-2526.149641
71,3501.687007,38.577268,-2458.971606
72,3888.442133,902.108472,-2765.373570
73,3920.013949,455.236276,-2664.995346
74,3927.549392,714.986615,-2565.435503
76,3968.128951,301.666121,-2495.686205
77,3777.839326,566.897973,-2471.282440
78,4156.477456,295.528099,-2457.881129
79,3761.899090,840.798530,-2711.972001
80,4047.233050,739.521269,-2534.671407
81,4131.380430,300.676586,-2493.944860
82,3838.895683,445.858451,-2426.003793
83,4050.493482,651.136938,-2773.363971
84,4170.443244,246.013762,-2509.491296
85,4161.795317,318.213138,-2382.488564
86,3709.755202,483.244252,-2410.670811
87,3623.320188,340.578124,-2354.062488
88,4048.269253,758.339756,-2580.354832
89,3756.429525,218.633359,-2538.228264
90,3760.349030,172.189390,-2530.298787
91,3453.990840,186.730878,-2278.168261
92,4218.242510,268.080310,-2526.843593
93,3745.483363,257.337428,-2494.729469
94,3827.053374,900.490603,-2734.197481
95,3917.820089,599.898360,-2443.076790
96,3928.038021,706.598607,-2502.828887
97,3821.824121,791.741664,-2577.663088
98,3534.204871,268.076946,-2353.639745
99,3968.521351,666.920265,-2766.028596
100,3437.515733,75.843955,-2397.416527
101,3761.858535,807.894010,-2779.262042
102,3945.484730,732.895143,-2812.467252
103,3889.468126,467.158491,-2380.191837
104,3935.244999,340.028013,-2275.882943
105,4089.317040,304.639723,-2474.917661
106,3865.244647,459.806484,-2478.594612
107,4148.931646,344.922020,-2448.975292
108,4096.570086,352.759897,-2358.099838
109,3970.477924,753.938478,-2546.776021
110,3783.581583,464.719715,-2628.726182
111,3647.180553,320.738399,-2428.091543
112,4001.380729,338.600179,-2319.951379
113,3880.443253,332.487187,-2559.452654
114,3453.635209,124.268369,-2375.441543
115,4058.083481,597.159214,-2753.785300
116,3843.199972,820.366974,-2630.960253
117,3842.844896,369.685157,-2533.323094
118,3725.507928,361.758379,-2586.417337
119,3810.337793,552.848556,-2444.541197
120,3891.450145,581.455492,-2748.147362
121,3830.030388,423.624678,-2523.938916
122,4029.592884,622.275824,-2714.574051
123,3800.843215,863.849551,-2697.788802
124,3975.773167,380.439460,-2372.981622
125,3880.026482,808.327708,-2804.170186
126,3624.224704,178.167585,-2454.745682
127,4155.717737,469.261914,-2223.115061
128,3922.971441,530.696953,-2440.180495
129,3973.961647,821.585740,-2580.760070
130,3816.424061,618.463909,-2762.608621
131,3631.159156,281.327341,-2287.544741
132,3744.568779,352.886249,-2335.537745
133,3832.351548,492.240275,-2620.486343
134,3731.109946,126.221453,-2463.539717
135,3999.178431,252.594417,-2545.122015
136,3656.217403,683.704319,-2941.376266
137,3841.178539,358.367905,-2253.301164
138,3944.618374,849.002589,-2635.822287
139,3961.824675,191.057849,-2601.913226
140,4171.668155,421.911543,-2355.490929
141,3953.915086,580.794462,-2732.469207
142,3821.008539,400.356768,-2300.630754
143,3852.606127,517.175091,-2686.012247
144,3774.998315,228.145531,-2531.660647
145,3784.638087,705.383309,-2717.596827
146,3782.936270,755.032809,-2641.611944
147,3802.141306,544.855408,-2531.880397
148,3803.394346,507.685134,-2588.972248
149,3812.297811,137.672021,-2520.326356
