label,photo,sensor,calib_level,f,cx,cy,k1,k2,n_markers_observed,mean_marker_err_px,max_marker_err_px
DSC05196,DSC05196.JPG,DSC05196,per-camera,3969.354,41.0897,-26.1808,-0.055402,0.027083,0,,
DSC05197,DSC05197.JPG,DSC05197,per-camera,3973.3424,43.0908,-27.06,-0.062106,0.063334,0,,
DSC05198,DSC05198.JPG,DSC05198,per-camera,3979.2261,40.2708,-32.3353,-0.06331,0.067213,0,,
DSC05199,DSC05199.JPG,DSC05199,per-camera,3983.4391,39.5785,-30.3891,-0.06174,0.057786,0,,
DSC05200,DSC05200.JPG,DSC05200,per-camera,3988.7892,37.8993,-33.0894,-0.064944,0.071253,0,,
DSC05201,DSC05201.JPG,DSC05201,per-camera,3996.9851,35.691,-32.7004,-0.067331,0.078804,0,,
DSC05202,DSC05202.JPG,DSC05202,per-camera,4004.5486,32.7846,-31.8397,-0.06243,0.05955,0,,
DSC05203,DSC05203.JPG,DSC05203,per-camera,4012.8395,30.6438,-29.9583,-0.056336,0.030781,0,,
DSC05204,DSC05204.JPG,DSC05204,per-camera,4020.7772,32.4952,-26.2133,-0.057205,0.04119,0,,
DSC05205,DSC05205.JPG,DSC05205,per-camera,4022.3663,38.6463,-20.3924,-0.059049,0.049144,0,,
DSC05206,DSC05206.JPG,DSC05206,per-camera,4022.8724,30.3256,-16.1046,-0.061265,0.064271,0,,
DSC05207,DSC05207.JPG,DSC05207,per-camera,4021.0563,34.5709,-14.0407,-0.055649,0.038153,0,,
DSC05208,DSC05208.JPG,DSC05208,per-camera,4019.9109,34.8227,-10.5234,-0.061196,0.064851,0,,
DSC05209,DSC05209.JPG,DSC05209,per-camera,4018.0193,35.2688,-7.5133,-0.059891,0.058762,0,,
DSC05210,DSC05210.JPG,DSC05210,per-camera,4018.5555,34.4764,-8.268,-0.062491,0.071272,0,,
DSC05211,DSC05211.JPG,DSC05211,per-camera,4016.7081,34.3335,-4.5957,-0.059248,0.058726,0,,
DSC05212,DSC05212.JPG,DSC05212,per-camera,4013.5541,36.1732,-0.881,-0.054666,0.035145,0,,
DSC05213,DSC05213.JPG,DSC05213,per-camera,4011.6984,34.9605,-0.0379,-0.056266,0.04573,0,,
DSC05214,DSC05214.JPG,DSC05214,per-camera,4008.1767,35.8023,0.3208,-0.05578,0.047368,0,,
DSC05215,DSC05215.JPG,DSC05215,per-camera,4006.4085,38.5923,-0.3833,-0.057215,0.051763,0,,
DSC05216,DSC05216.JPG,DSC05216,per-camera,4003.3616,36.8748,-2.1165,-0.057705,0.054395,0,,
DSC05217,DSC05217.JPG,DSC05217,per-camera,4002.0269,37.2611,-1.7791,-0.059155,0.056824,0,,
DSC05218,DSC05218.JPG,DSC05218,per-camera,4000.8254,36.7187,-4.1832,-0.060714,0.065031,0,,
DSC05219,DSC05219.JPG,DSC05219,per-camera,3999.4993,35.6032,-5.8084,-0.060121,0.06134,0,,
DSC05220,DSC05220.JPG,DSC05220,per-camera,3997.1232,37.2962,-7.3939,-0.058264,0.052701,0,,
DSC05221,DSC05221.JPG,DSC05221,per-camera,3996.2929,38.0144,-13.3395,-0.054882,0.034654,0,,
DSC05222,DSC05222.JPG,DSC05222,per-camera,4000.3059,40.6192,-19.0332,-0.058906,0.061216,0,,
DSC05223,DSC05223.JPG,DSC05223,per-camera,3998.922,40.1481,-27.5692,-0.057917,0.057772,0,,
DSC05224,DSC05224.JPG,DSC05224,per-camera,4004.2818,41.0831,-26.4875,-0.058756,0.055544,0,,
DSC05225,DSC05225.JPG,DSC05225,per-camera,4007.2873,38.827,-26.8753,-0.060538,0.059158,0,,
DSC05226,DSC05226.JPG,DSC05226,per-camera,4015.1606,38.2452,-27.7258,-0.063713,0.069135,0,,
DSC05227,DSC05227.JPG,DSC05227,per-camera,4022.2683,43.72,-30.7037,-0.056939,0.043858,0,,
DSC05228,DSC05228.JPG,DSC05228,per-camera,4026.3747,47.1752,-29.6529,-0.062445,0.066012,0,,
DSC05229,DSC05229.JPG,DSC05229,per-camera,4031.5794,50.1279,-27.9248,-0.063102,0.072686,0,,
DSC05230,DSC05230.JPG,DSC05230,per-camera,4037.3421,51.8074,-21.9253,-0.063718,0.080231,0,,
DSC05231,DSC05231.JPG,DSC05231,per-camera,4040.2361,50.662,-24.5121,-0.065689,0.081718,0,,
DSC05232,DSC05232.JPG,DSC05232,per-camera,4045.128,53.4599,-20.4369,-0.067234,0.088934,0,,
DSC05233,DSC05233.JPG,DSC05233,per-camera,4049.5859,49.6581,-15.9074,-0.065535,0.076656,0,,
DSC05234,DSC05234.JPG,DSC05234,per-camera,4050.9304,52.793,-9.5036,-0.067308,0.086134,0,,
DSC05235,DSC05235.JPG,DSC05235,per-camera,4051.7995,53.2141,-3.037,-0.066349,0.086057,0,,
DSC05236,DSC05236.JPG,DSC05236,per-camera,4037.1966,20.8519,-47.2746,-0.057254,0.043171,0,,
DSC05237,DSC05237.JPG,DSC05237,per-camera,4038.3628,8.5486,-46.5131,-0.058734,0.046892,0,,
DSC05238,DSC05238.JPG,DSC05238,per-camera,4036.8747,5.0282,-43.0954,-0.058783,0.041553,0,,
DSC05239,DSC05239.JPG,DSC05239,per-camera,4032.0173,-3.2503,-37.0929,-0.056726,0.03015,0,,
DSC05240,DSC05240.JPG,DSC05240,per-camera,4029.5337,0.3944,-31.5039,-0.066561,0.094647,0,,
DSC05241,DSC05241.JPG,DSC05241,per-camera,4023.0651,8.1938,-21.6002,-0.066566,0.095981,0,,
