label,x,y,z,n_obs,mean_err_px,max_err_px,obs_cameras
target 1,-0.6215,0.2508,-2.3123,79,,,DSC05196;DSC05197;DSC05198;DSC05199;DSC05200;DSC05201;DSC05202;DSC05203;DSC05204;DSC05205;DSC05207;DSC05208;DSC05210;DSC05211;DSC05247;DSC05248;DSC05249;DSC05250;DSC05251;DSC05252;DSC05253;DSC05254;DSC05255;DSC05256;DSC05257;DSC05258;DSC05260;DSC05261;DSC05262;DSC05263;DSC05264;DSC05265;DSC05266;DSC05267;DSC05268;DSC05269;DSC05270;DSC05271;DSC05330;DSC05331;DSC05332;DSC05333;DSC05334;DSC05335;DSC05336;DSC05337;DSC05338;DSC05339;DSC05340;DSC05341;DSC05342;DSC05343;DSC05344;DSC05345;DSC05346;DSC05348;DSC05349;DSC05350;DSC05351;DSC05352;DSC05354;DSC05355;DSC05356;DSC05357;DSC05358;DSC05359;DSC05360;DSC05361;DSC05362;DSC05363;DSC05364;DSC05365;DSC05366;DSC05367;DSC05368;DSC05369;DSC05370;DSC05371;DSC05414
target 2,0.2194,-0.4158,-3.1115,123,,,DSC05216;DSC05217;DSC05218;DSC05219;DSC05220;DSC05221;DSC05222;DSC05224;DSC05225;DSC05226;DSC05227;DSC05228;DSC05229;DSC05230;DSC05231;DSC05232;DSC05233;DSC05234;DSC05236;DSC05237;DSC05238;DSC05239;DSC05240;DSC05241;DSC05242;DSC05243;DSC05244;DSC05245;DSC05279;DSC05280;DSC05281;DSC05282;DSC05283;DSC05284;DSC05285;DSC05286;DSC05287;DSC05288;DSC05289;DSC05290;DSC05291;DSC05292;DSC05293;DSC05294;DSC05295;DSC05296;DSC05297;DSC05298;DSC05299;DSC05300;DSC05301;DSC05302;DSC05303;DSC05304;DSC05305;DSC05306;DSC05307;DSC05308;DSC05309;DSC05310;DSC05311;DSC05312;DSC05313;DSC05314;DSC05315;DSC05316;DSC05317;DSC05318;DSC05319;DSC05320;DSC05321;DSC05322;DSC05382;DSC05383;DSC05384;DSC05385;DSC05386;DSC05387;DSC05388;DSC05389;DSC05390;DSC05391;DSC05392;DSC05393;DSC05394;DSC05395;DSC05396;DSC05397;DSC05398;DSC05399;DSC05400;DSC05401;DSC05402;DSC05403;DSC05413;DSC05443;DSC05444;DSC05445;DSC05447;DSC05448;DSC05449;DSC05450;DSC05451;DSC05452;DSC05453;DSC05454;DSC05455;DSC05456;DSC05457;DSC05458;DSC05484;DSC05485;DSC05486;DSC05487;DSC05488;DSC05489;DSC05490;DSC05491;DSC05492;DSC05493;DSC05494;DSC05495;DSC05496
target 3,-1.0755,-0.4178,-2.4677,113,,,DSC05207;DSC05208;DSC05210;DSC05211;DSC05212;DSC05213;DSC05214;DSC05215;DSC05216;DSC05219;DSC05220;DSC05243;DSC05244;DSC05246;DSC05247;DSC05272;DSC05273;DSC05274;DSC05275;DSC05276;DSC05277;DSC05278;DSC05279;DSC05280;DSC05282;DSC05283;DSC05284;DSC05285;DSC05286;DSC05316;DSC05317;DSC05318;DSC05319;DSC05320;DSC05321;DSC05322;DSC05323;DSC05324;DSC05325;DSC05326;DSC05327;DSC05330;DSC05331;DSC05332;DSC05369;DSC05370;DSC05371;DSC05372;DSC05373;DSC05374;DSC05375;DSC05376;DSC05377;DSC05378;DSC05379;DSC05380;DSC05381;DSC05382;DSC05383;DSC05384;DSC05385;DSC05386;DSC05387;DSC05388;DSC05389;DSC05431;DSC05432;DSC05433;DSC05434;DSC05435;DSC05436;DSC05437;DSC05438;DSC05439;DSC05440;DSC05441;DSC05442;DSC05443;DSC05444;DSC05445;DSC05447;DSC05448;DSC05449;DSC05450;DSC05451;DSC05452;DSC05453;DSC05488;DSC05489;DSC05490;DSC05491;DSC05492;DSC05493;DSC05494;DSC05495;DSC05496;DSC05497;DSC05498;DSC05499;DSC05500;DSC05501;DSC05502;DSC05503;DSC05504;DSC05505;DSC05506;DSC05507;DSC05508;DSC05509;DSC05510;DSC05511;DSC05512;DSC05513
target 4,-0.6884,0.2939,-2.3569,78,,,DSC05196;DSC05197;DSC05198;DSC05199;DSC05200;DSC05201;DSC05202;DSC05249;DSC05250;DSC05251;DSC05252;DSC05253;DSC05254;DSC05255;DSC05256;DSC05257;DSC05258;DSC05260;DSC05261;DSC05262;DSC05263;DSC05264;DSC05265;DSC05266;DSC05267;DSC05334;DSC05335;DSC05336;DSC05337;DSC05338;DSC05339;DSC05340;DSC05341;DSC05342;DSC05343;DSC05344;DSC05345;DSC05346;DSC05348;DSC05349;DSC05350;DSC05351;DSC05352;DSC05353;DSC05354;DSC05355;DSC05356;DSC05357;DSC05358;DSC05359;DSC05360;DSC05361;DSC05362;DSC05364;DSC05365;DSC05366;DSC05367;DSC05414;DSC05415;DSC05417;DSC05418;DSC05421;DSC05422;DSC05423;DSC05424;DSC05425;DSC05426;DSC05427;DSC05428;DSC05476;DSC05477;DSC05517;DSC05520;DSC05521;DSC05522;DSC05523;DSC05524;DSC05525
target 5,0.3277,-0.3688,-3.1226,85,,,DSC05215;DSC05216;DSC05217;DSC05218;DSC05219;DSC05220;DSC05221;DSC05222;DSC05224;DSC05225;DSC05226;DSC05227;DSC05228;DSC05229;DSC05230;DSC05231;DSC05232;DSC05233;DSC05234;DSC05236;DSC05237;DSC05238;DSC05239;DSC05240;DSC05241;DSC05242;DSC05243;DSC05244;DSC05245;DSC05280;DSC05281;DSC05282;DSC05283;DSC05284;DSC05285;DSC05286;DSC05287;DSC05288;DSC05289;DSC05290;DSC05291;DSC05292;DSC05293;DSC05294;DSC05295;DSC05296;DSC05297;DSC05298;DSC05299;DSC05300;DSC05301;DSC05302;DSC05303;DSC05304;DSC05307;DSC05308;DSC05309;DSC05310;DSC05311;DSC05312;DSC05313;DSC05314;DSC05315;DSC05316;DSC05317;DSC05318;DSC05319;DSC05320;DSC05385;DSC05386;DSC05387;DSC05388;DSC05389;DSC05390;DSC05391;DSC05392;DSC05393;DSC05394;DSC05395;DSC05396;DSC05397;DSC05398;DSC05399;DSC05400;DSC05455
target 6,-1.0762,-0.3108,-2.393,113,,,DSC05207;DSC05208;DSC05210;DSC05211;DSC05212;DSC05213;DSC05214;DSC05217;DSC05218;DSC05219;DSC05220;DSC05243;DSC05244;DSC05246;DSC05247;DSC05271;DSC05272;DSC05273;DSC05274;DSC05275;DSC05276;DSC05277;DSC05278;DSC05279;DSC05281;DSC05282;DSC05283;DSC05284;DSC05285;DSC05316;DSC05317;DSC05318;DSC05319;DSC05320;DSC05321;DSC05322;DSC05323;DSC05324;DSC05325;DSC05326;DSC05327;DSC05328;DSC05331;DSC05332;DSC05333;DSC05369;DSC05370;DSC05371;DSC05372;DSC05373;DSC05374;DSC05375;DSC05376;DSC05377;DSC05378;DSC05379;DSC05380;DSC05381;DSC05382;DSC05383;DSC05384;DSC05385;DSC05386;DSC05387;DSC05388;DSC05430;DSC05431;DSC05432;DSC05433;DSC05434;DSC05435;DSC05436;DSC05437;DSC05438;DSC05439;DSC05440;DSC05441;DSC05442;DSC05443;DSC05444;DSC05445;DSC05447;DSC05448;DSC05449;DSC05450;DSC05451;DSC05452;DSC05453;DSC05489;DSC05490;DSC05491;DSC05492;DSC05493;DSC05494;DSC05495;DSC05496;DSC05497;DSC05498;DSC05499;DSC05500;DSC05501;DSC05502;DSC05503;DSC05504;DSC05505;DSC05506;DSC05507;DSC05508;DSC05509;DSC05510;DSC05511;DSC05512;DSC05513
target 7,-0.6435,0.2241,-2.2253,87,,,DSC05196;DSC05197;DSC05198;DSC05199;DSC05200;DSC05201;DSC05202;DSC05203;DSC05204;DSC05205;DSC05207;DSC05208;DSC05210;DSC05211;DSC05212;DSC05213;DSC05246;DSC05247;DSC05248;DSC05249;DSC05250;DSC05251;DSC05252;DSC05253;DSC05254;DSC05255;DSC05256;DSC05257;DSC05258;DSC05260;DSC05261;DSC05262;DSC05263;DSC05264;DSC05265;DSC05266;DSC05267;DSC05268;DSC05269;DSC05270;DSC05271;DSC05272;DSC05273;DSC05274;DSC05275;DSC05276;DSC05277;DSC05323;DSC05324;DSC05325;DSC05326;DSC05327;DSC05328;DSC05329;DSC05330;DSC05331;DSC05332;DSC05333;DSC05334;DSC05335;DSC05336;DSC05337;DSC05338;DSC05339;DSC05340;DSC05341;DSC05342;DSC05343;DSC05344;DSC05345;DSC05346;DSC05357;DSC05359;DSC05360;DSC05361;DSC05362;DSC05363;DSC05364;DSC05365;DSC05366;DSC05367;DSC05368;DSC05369;DSC05370;DSC05371;DSC05426;DSC05431
target 8,0.0824,-0.4005,-2.9947,141,,,DSC05212;DSC05213;DSC05214;DSC05215;DSC05216;DSC05217;DSC05218;DSC05219;DSC05220;DSC05221;DSC05222;DSC05224;DSC05225;DSC05226;DSC05227;DSC05228;DSC05229;DSC05230;DSC05231;DSC05238;DSC05239;DSC05240;DSC05241;DSC05242;DSC05243;DSC05244;DSC05245;DSC05246;DSC05274;DSC05275;DSC05276;DSC05277;DSC05278;DSC05279;DSC05280;DSC05281;DSC05282;DSC05283;DSC05284;DSC05285;DSC05286;DSC05287;DSC05288;DSC05289;DSC05290;DSC05291;DSC05292;DSC05293;DSC05294;DSC05295;DSC05296;DSC05297;DSC05298;DSC05299;DSC05300;DSC05301;DSC05302;DSC05308;DSC05309;DSC05310;DSC05311;DSC05312;DSC05313;DSC05314;DSC05315;DSC05316;DSC05317;DSC05318;DSC05319;DSC05320;DSC05321;DSC05322;DSC05323;DSC05324;DSC05325;DSC05326;DSC05327;DSC05375;DSC05376;DSC05377;DSC05379;DSC05380;DSC05381;DSC05382;DSC05383;DSC05384;DSC05385;DSC05386;DSC05387;DSC05388;DSC05389;DSC05390;DSC05391;DSC05392;DSC05393;DSC05394;DSC05395;DSC05396;DSC05397;DSC05398;DSC05399;DSC05400;DSC05401;DSC05402;DSC05413;DSC05438;DSC05440;DSC05441;DSC05442;DSC05443;DSC05444;DSC05445;DSC05447;DSC05448;DSC05449;DSC05450;DSC05451;DSC05452;DSC05453;DSC05454;DSC05455;DSC05456;DSC05457;DSC05458;DSC05481;DSC05482;DSC05483;DSC05484;DSC05485;DSC05486;DSC05487;DSC05488;DSC05489;DSC05490;DSC05491;DSC05492;DSC05493;DSC05494;DSC05495;DSC05496;DSC05497
target 9,-1.079,-0.199,-2.3175,113,,,DSC05208;DSC05210;DSC05211;DSC05212;DSC05213;DSC05217;DSC05218;DSC05219;DSC05220;DSC05244;DSC05246;DSC05247;DSC05270;DSC05271;DSC05272;DSC05273;DSC05274;DSC05275;DSC05276;DSC05277;DSC05278;DSC05279;DSC05280;DSC05281;DSC05282;DSC05283;DSC05284;DSC05285;DSC05316;DSC05317;DSC05318;DSC05319;DSC05320;DSC05321;DSC05322;DSC05323;DSC05324;DSC05325;DSC05326;DSC05327;DSC05328;DSC05329;DSC05332;DSC05333;DSC05369;DSC05370;DSC05371;DSC05372;DSC05373;DSC05374;DSC05375;DSC05376;DSC05377;DSC05378;DSC05379;DSC05380;DSC05381;DSC05382;DSC05383;DSC05384;DSC05385;DSC05386;DSC05387;DSC05388;DSC05389;DSC05430;DSC05431;DSC05432;DSC05433;DSC05434;DSC05435;DSC05436;DSC05437;DSC05438;DSC05439;DSC05440;DSC05441;DSC05442;DSC05443;DSC05444;DSC05445;DSC05447;DSC05448;DSC05449;DSC05450;DSC05451;DSC05452;DSC05453;DSC05489;DSC05490;DSC05491;DSC05492;DSC05493;DSC05494;DSC05495;DSC05496;DSC05497;DSC05498;DSC05499;DSC05500;DSC05501;DSC05502;DSC05503;DSC05504;DSC05505;DSC05506;DSC05507;DSC05508;DSC05509;DSC05510;DSC05511;DSC05512;DSC05513
target 10,-0.7004,0.1595,-2.1667,126,,,DSC05196;DSC05197;DSC05198;DSC05199;DSC05200;DSC05201;DSC05202;DSC05203;DSC05204;DSC05205;DSC05207;DSC05208;DSC05210;DSC05211;DSC05212;DSC05213;DSC05214;DSC05215;DSC05245;DSC05246;DSC05247;DSC05248;DSC05249;DSC05250;DSC05261;DSC05262;DSC05263;DSC05264;DSC05265;DSC05266;DSC05267;DSC05268;DSC05269;DSC05270;DSC05271;DSC05272;DSC05273;DSC05274;DSC05275;DSC05276;DSC05277;DSC05278;DSC05279;DSC05322;DSC05323;DSC05324;DSC05325;DSC05326;DSC05327;DSC05328;DSC05329;DSC05330;DSC05331;DSC05332;DSC05333;DSC05334;DSC05335;DSC05336;DSC05337;DSC05338;DSC05339;DSC05340;DSC05341;DSC05342;DSC05343;DSC05358;DSC05359;DSC05360;DSC05361;DSC05362;DSC05363;DSC05364;DSC05365;DSC05366;DSC05367;DSC05368;DSC05369;DSC05370;DSC05371;DSC05372;DSC05373;DSC05374;DSC05375;DSC05376;DSC05377;DSC05378;DSC05379;DSC05418;DSC05419;DSC05420;DSC05425;DSC05426;DSC05427;DSC05428;DSC05429;DSC05430;DSC05431;DSC05432;DSC05433;DSC05434;DSC05435;DSC05436;DSC05437;DSC05438;DSC05439;DSC05440;DSC05476;DSC05477;DSC05478;DSC05501;DSC05502;DSC05503;DSC05504;DSC05505;DSC05506;DSC05507;DSC05508;DSC05509;DSC05510;DSC05511;DSC05512;DSC05513;DSC05514;DSC05515;DSC05516;DSC05517
