camera,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2
DSC05196,-0.9958217091268573,-0.08546018016218593,0.03218200177601552,-0.05663018479267599,0.30146070895324223,-0.9517953893183955,0.07163899637775584,-0.9496409840376812,-0.3050407442194118,0.8838833309586418,3.686899487887601,-2.0783797724397552
DSC05197,-0.9962212864782114,-0.08276634639756769,0.026322619012839957,-0.05645071453866159,0.38673225744448664,-0.9204626433918794,0.06600352411630633,-0.9184704094067969,-0.3899431264278665,0.938767485204799,3.4497826577568484,-1.4376525347407614
DSC05198,-0.9966199079277913,-0.08021131331343023,0.017745544188211875,-0.05530945734672496,0.49543093355049717,-0.8668846832245299,0.06074226740920906,-0.8649360295986158,-0.49819277559211045,0.9667553735707749,3.292889986528197,-1.1373013951102215
DSC05199,-0.9968353294391958,-0.0792041570969736,0.0067843555632149275,-0.051862888405472256,0.5832943518701015,-0.8106034418152194,0.06024588606777837,-0.8083900052418982,-0.5855561737672246,1.0059424762013887,2.9634772901524142,-0.7352053896842546
DSC05200,-0.997006929933496,-0.07730969595284116,-0.0006265590668581289,-0.04979511510536788,0.6483286506538777,-0.7597304832984954,0.05914074886428283,-0.7574253571494698,-0.6502378027850814,1.0327959743477404,2.752723117073958,-0.4589979427682428
DSC05201,-0.9973297660516445,-0.07249210694000477,-0.008844895633712503,-0.048382176645998344,0.7465887011436101,-0.6635242846405042,0.0547037725423738,-0.6613245842671329,-0.7481024605717695,1.0615889623904222,2.363286731193978,-0.19028834307563333
DSC05202,-0.9978638444486907,-0.06342271933485834,-0.015662267212990782,-0.04519306287629983,0.8432989676308291,-0.5355412572908239,0.0471734566248664,-0.5336894320341651,-0.8443638168023975,1.0817253681554404,1.9875791307039512,-0.023521171794230623
DSC05203,-0.9982508541943016,-0.053884614643279045,-0.024324481599667706,-0.04013321108116951,0.9197506417045518,-0.3904460045286411,0.04341149005345874,-0.3887868379829885,-0.920304426340832,1.0909508514268418,1.6527206745985803,-0.01075113841150182
DSC05204,-0.9835688324816374,-0.04570972251853547,-0.17465100354131144,-0.006649302663403237,0.9759317403373121,-0.2179748264737829,0.18041102667187256,-0.21323193820219283,-0.9601999802050285,1.0685996112098857,1.4709671323353295,-0.020163039462571877
DSC05205,-0.9820156909227704,-0.040199486128889954,-0.18447000866386726,-0.014403816882493092,0.990173642299656,-0.1390995620203332,0.1882490712877216,-0.1339408802793457,-0.9729450795133836,1.0685098392073031,0.940126367818049,-0.16283775522495272
DSC05206,-0.9821272713647757,-0.036662769693031186,-0.18461274105547543,-0.02264544252007171,0.9967372619207304,-0.07747267022528237,0.1868507607012891,-0.07190738499765535,-0.9797530919615149,1.0706343408169414,0.7486626243772373,-0.21112152882200189
DSC05207,-0.9818960389275635,-0.03345990329007304,-0.18644195775141295,-0.025133720084455607,0.9985859175810965,-0.0468450778997735,0.18774574523295307,-0.041311016454918796,-0.9813485288450708,1.0722259346797445,0.518968996057102,-0.23652498109342607
DSC05208,-0.9819208484976991,-0.030944693520446327,-0.1867454771299271,-0.024031929454947802,0.9989435873080676,-0.0391685555358068,0.18776025578442035,-0.03397256715373163,-0.9816271955425615,1.0827196567382438,0.18592895026634956,-0.18898460209531603
DSC05209,-0.9813890158652288,-0.023792734011545465,-0.19055053226725416,-0.030581861546977576,0.9989950126226304,0.032767583057532634,0.18957940099968537,0.037985136084613805,-0.98113035838936,1.0917050045956644,-0.16662613367794551,-0.14860613446823745
DSC05210,-0.9814962580224649,-0.023826366400809845,-0.18999315711897027,-0.030588172805099824,0.9989958340776822,0.032736633606429394,0.189022377438082,0.03794242690670446,-0.9812394779400616,1.0918547318885399,-0.1667350835207814,-0.14933149088806752
DSC05211,-0.981045980822135,-0.013566443302673092,-0.19329959940168195,-0.04240203727164599,0.9884002669182335,0.14583202525912733,0.1890789537414179,0.15126421907404342,-0.970241354138222,1.0929529760660393,-0.48647322828452644,-0.20898547960940037
DSC05212,-0.9810963780543589,-0.00019863843218942406,-0.1935196566537667,-0.05708793172874061,0.9557944595763331,0.288440494893002,0.18490772028109884,0.29403556177095114,-0.9377378223120194,1.089908699226704,-0.7755783509477852,-0.3077551822913038
DSC05213,-0.9817024205686202,0.0102229651827097,-0.19014691276112103,-0.06809891281770965,0.913671716357161,0.40070754023602495,0.17782827537475102,0.40632436022447965,-0.8962575627381948,1.0853437570461175,-0.9752572391741771,-0.39639359901131116
DSC05214,-0.9824477198454955,0.02405689288669807,-0.18498038727125818,-0.0796934645122419,0.8424658919250464,0.5328228342113093,0.16865772880132932,0.5382123064809778,-0.8257615174298225,1.078077845975223,-1.265616829237068,-0.5309629170724529
DSC05215,-0.9826457026444384,0.02921822166339921,-0.1831767414199915,-0.08870576693318513,0.7932572795173043,0.6023903845560625,0.16290705935352642,0.6081851560303279,-0.7768990320480215,1.0717486566520702,-1.491548997534844,-0.6509093767428965
DSC05216,-0.9834658789049107,0.03619094720515581,-0.17744035721950444,-0.09667438924098942,0.7236080520241684,0.6834072354831122,0.15313042641706898,0.6892616356552728,-0.7081450911495077,1.0580030850188233,-1.7345467994251358,-0.8585247768458187
DSC05217,-0.9831804906523585,0.03967599746332422,-0.17827489454737608,-0.09978436231957023,0.7008577183696104,0.706287150979133,0.15296798304568346,0.7121967943111188,-0.6851105913178555,1.0472096709863725,-2.037715332412743,-1.0427015917927085
DSC05218,-0.9837255599457451,0.042919085597764264,-0.17447628721657912,-0.10433800159443227,0.6541018318575961,0.7491757971156153,0.14627919924825472,0.7551878876491526,-0.63897859918412,1.0386675692709375,-2.2012597013344233,-1.1982114716854284
DSC05219,-0.9842214254726178,0.04637781367393083,-0.17075504103678646,-0.109527245061755,0.5982434733897911,0.7937937573045665,0.13896750782046413,0.7999711525707314,-0.583724409995697,1.025393385589279,-2.4063462526655375,-1.3993383086795614
DSC05220,-0.984578014963911,0.050548943289476164,-0.16748413889691768,-0.11443066823291144,0.5380740478554021,0.8350939714740325,0.13233198637326515,0.8413804866746197,-0.5239915285819857,1.0049193797032765,-2.5674583391111643,-1.673395960903416
DSC05221,-0.9857488312217986,0.05891007564316823,-0.15757171298356337,-0.12255602682750304,0.3901514116568544,0.912557886531271,0.11523568038205291,0.9188642331541041,-0.37737151322934476,0.9752772151824232,-2.7887051069363995,-2.0864499177765055
DSC05222,-0.9870354099101446,0.06676404274320066,-0.14595774107630224,-0.12665833326254533,0.2345582432450516,0.9638153854037346,0.09858380292252292,0.9698066782211698,-0.2230610693934596,0.9621555462270983,-2.8789151251307,-2.271331479927522
DSC05223,-0.9874722716782318,0.06761567579516159,-0.14257150154710405,-0.12886816092575404,0.17582936326887802,0.975949297920786,0.09105772765804258,0.9820957974654125,-0.16491311298538133,0.9376145989065093,-3.0160145594738057,-2.6467671938234245
DSC05224,-0.9882983942315839,0.07049645061053489,-0.13526468279114476,-0.1286986393764508,0.09059000924186751,0.9875373969871768,0.08187151019691075,0.9933900043169726,-0.08045716339271684,0.9117943123319087,-3.172791318297626,-2.9488182133098197
DSC05225,-0.9889035930575909,0.07252586965671204,-0.1296521572065988,-0.12877557131134929,0.016654528676646633,0.99153390204672,0.07407115411023794,0.9972274689884432,-0.0071301629491211955,0.8832178347595885,-3.311421603874533,-3.3309619400280974
DSC05226,-0.9902181445513887,0.07415197346662966,-0.11819268603517499,-0.12580291208714153,-0.10811648098732643,0.9861462639230107,0.060346114304072,0.9913689078087538,0.11638743539780624,0.8477187987419487,-3.390723992609592,-3.797077377898718
DSC05227,-0.9917413526000824,0.07311404214380696,-0.1053727971743785,-0.12181888718292805,-0.2800178330884449,0.9522343051360653,0.04011543678525934,0.9572065346589761,0.2866119357906824,0.8260872007174118,-3.232937649804366,-4.015162409371202
DSC05228,-0.9924483755429689,0.0729823987964775,-0.09858900216573002,-0.11851883639304349,-0.3633855198182066,0.9240693964234996,0.031614985405048,0.9287758251873074,0.3692911578219479,0.7925309459997487,-2.958053529858477,-4.355854427640175
DSC05229,-0.9935104921091398,0.07148295568103595,-0.08847083765941288,-0.11157074165574206,-0.4612789446643985,0.8802123066713432,0.022110442678580765,0.8843709189341326,0.46626087769418867,0.7715624329983302,-2.7837267022874324,-4.573615231303882
DSC05230,-0.994549175999542,0.06903772614518634,-0.0781391635950527,-0.10357577739002648,-0.5678846696341224,0.8165654048100465,0.011999785693246076,0.8202077751175282,0.5719398664021162,0.748352186413322,-2.6096736705249475,-4.810302005912669
DSC05231,-0.9948290210288142,0.06779042519180024,-0.07562854732947108,-0.10110986555065878,-0.5907173391378103,0.8005184696996522,0.009592393193505565,0.804025797779064,0.5945170329759789,0.7221986276042248,-2.3982990004523264,-5.07545386251017
DSC05232,-0.9956460443965032,0.0631099728742724,-0.06860091545602955,-0.09321272786981027,-0.6694640659039678,0.7369730333101727,0.0005845003553473835,0.7401587639061881,0.6724319018102857,0.6904194932411597,-2.0749216158320176,-5.401562752479871
DSC05233,-0.996464820714134,0.05873412683247985,-0.06006799001444166,-0.0838002711767281,-0.7455239842711683,0.6611894610678171,-0.0059477415760711486,0.6638857516332679,0.7478103590807464,0.6751036643054988,-1.8675827131024905,-5.548951153958452
DSC05234,-0.9967342212235406,0.05523851182435954,-0.05890330256727741,-0.07993869905123523,-0.7782174501807768,0.6228863496883894,-0.011432262938639179,0.6255607940444802,0.7800916589212715,0.651198722946546,-1.523506567689856,-5.768033157614456
DSC05235,-0.9976931810105187,0.046615871918526175,-0.04934852632437932,-0.06533315352575911,-0.8567854384149222,0.5115176356397979,-0.018436258174911513,0.51356175189107,0.8578545514124658,0.6325244947192525,-1.232196412954211,-5.929066683440132
DSC05236,0.024250241803449767,0.9665111239433635,-0.25547636498551224,-0.8393589086419194,0.158499180624526,0.5199563753093139,0.5430364152208582,0.20182729506954827,0.8150933656391698,0.5595952074889132,-1.539850808136055,-5.819401134659374
DSC05237,0.04152968020143172,0.9602039378629942,-0.2761950096847623,-0.6330200232707947,0.2391598459088868,0.7362664043965881,0.7730206567748429,0.1442600631402772,0.617760551008361,0.6022639655074074,-2.1744084274084012,-5.434976936600967
DSC05238,0.04632380004920278,0.9574365700633256,-0.284902298787455,-0.5274524209598968,0.2656522083502531,0.8069837965053435,0.8483207230597078,0.11288985120022305,0.517308256577687,0.6532241120277855,-2.596182766605055,-4.893755851993218
DSC05239,0.049041036980480644,0.9534257582335376,-0.297614348156609,-0.3664334599683457,0.29436994706602015,0.8826510373188123,0.9291509544242562,0.06576973316923838,0.3638033068724655,0.6972381398134663,-2.8161358696938845,-4.403363480434647
DSC05240,0.049615452874674615,0.9474467540160783,-0.3160426476607834,-0.157322885343087,0.3198958031391472,0.9342998367126507,0.9863000641708217,0.0033650317022303755,0.16492683219620793,0.7575308550007274,-3.0844223456918027,-3.72838736586267
DSC05241,0.04390024608657664,0.9390562181410618,-0.3409489515516141,0.19040908100083367,0.3271573318086544,0.9255876307061693,0.9807227693216651,-0.10555330129583287,-0.16444254412893025,0.8079307647960882,-3.1633253600791886,-3.145298977880162
DSC05242,0.04174322177490614,0.9372692620939016,-0.34609801179695354,0.24553094989463944,0.32615432931110183,0.9128734337877632,0.968489574584924,-0.12308405179217458,-0.21651387972768432,0.8546113225766147,-3.111686015836392,-2.5599601342089287
DSC05243,0.03607713058936201,0.9340370456467139,-0.35534945899493964,0.384545513172977,0.31522672759124215,0.8676156167973516,0.9224007745806428,-0.16794912197351688,-0.34780727922422083,0.9153275712566944,-2.7291644386960465,-1.7438365291079299
DSC05244,0.02834890992642289,0.9314621354018165,-0.362732173398875,0.5082478534433167,0.2990391549550774,0.8076259674341918,0.8607441308404282,-0.2072531643098392,-0.46493619681340626,0.9559040969989179,-2.481937125871391,-1.1905614266150275
DSC05245,0.006503749278752358,0.9253824027434077,-0.378979036277941,0.7630956343486315,0.24033379359757193,0.5999372637976903,0.6462528561510418,-0.2930990896400693,-0.7045922008997714,0.9934672034796126,-2.01528662693845,-0.6474036604409791
