marker,camera,u,v
target 1,DSC05196,5054.7124,1154.0199
target 1,DSC05197,5088.1357,1601.2106
target 1,DSC05198,5121.1582,1517.3429
target 1,DSC05199,5161.0122,1741.8123
target 1,DSC05200,5158.3965,1850.2078
target 1,DSC05201,5230.355,1897.2584
target 1,DSC05202,5323.9517,1781.1284
target 1,DSC05203,5471.7925,1524.9149
target 1,DSC05204,4845.2949,1070.9487
target 1,DSC05205,5057.5957,1456.5305
target 1,DSC05207,5189.998,1772.8832
target 1,DSC05208,5146.9336,2301.718
target 1,DSC05210,5072.2646,2596.7068
target 1,DSC05211,5045.749,2688.4839
target 1,DSC05247,3935.4641,1200.777
target 1,DSC05248,3472.2107,998.3186
target 1,DSC05249,3286.2031,978.7062
target 1,DSC05250,2715.8279,1112.2683
target 1,DSC05251,1898.5925,1207.6652
target 1,DSC05252,1925.3986,1308.1534
target 1,DSC05253,2082.292,1335.8263
target 1,DSC05254,2058.2852,1437.9969
target 1,DSC05255,2142.8308,3368.6829
target 1,DSC05256,2128.7917,2883.2083
target 1,DSC05257,2073.4785,2788.7148
target 1,DSC05258,2041.4375,2832.8777
target 1,DSC05260,1988.8154,2682.9719
target 1,DSC05261,1977.6511,3016.1001
target 1,DSC05262,1980.0819,2757.5281
target 1,DSC05263,1959.674,2366.4521
target 1,DSC05264,1956.7368,2165.001
target 1,DSC05265,1959.1713,2573.7344
target 1,DSC05266,1918.5551,3005.7981
target 1,DSC05267,1870.1713,2780.0876
target 1,DSC05268,1348.126,2086.4724
target 1,DSC05269,1962.4797,2153.658
target 1,DSC05270,1926.3539,1806.2443
target 1,DSC05271,1881.4384,1599.0924
target 1,DSC05330,3673.5249,1532.3159
target 1,DSC05331,3591.6321,1526.624
target 1,DSC05332,3052.7712,1506.683
target 1,DSC05333,2655.9255,1507.8052
target 1,DSC05334,2853.6973,1532.0027
target 1,DSC05335,2657.3457,1554.8187
target 1,DSC05336,2834.0505,1568.8802
target 1,DSC05337,2951.6809,1561.2
target 1,DSC05338,2764.2488,1565.9703
target 1,DSC05339,2724.9832,1567.9854
target 1,DSC05340,2611.5425,1583.75
target 1,DSC05341,2155.8069,1603.3105
target 1,DSC05342,2619.554,1604.4564
target 1,DSC05343,2676.0,1606.891
target 1,DSC05344,2494.3213,1617.7478
target 1,DSC05345,2405.929,1623.926
target 1,DSC05346,2416.7346,1625.715
target 1,DSC05348,2247.4922,1605.9961
target 1,DSC05349,2115.3325,1608.1653
target 1,DSC05350,1948.1143,1617.0857
target 1,DSC05351,3277.5049,1864.8903
target 1,DSC05352,2253.8271,1271.0802
target 1,DSC05354,2479.1055,987.6556
target 1,DSC05355,2506.0691,1131.7817
target 1,DSC05356,2461.3848,939.4124
target 1,DSC05357,2407.3538,858.0813
target 1,DSC05358,2373.2588,1278.9397
target 1,DSC05359,2322.563,1135.6504
target 1,DSC05360,2303.8254,1223.9833
target 1,DSC05361,2235.5129,1356.0531
target 1,DSC05362,2287.9041,1558.3719
target 1,DSC05363,2315.897,1881.7794
target 1,DSC05364,2926.0115,1880.6598
target 1,DSC05365,2949.7095,1834.1367
target 1,DSC05366,2988.1509,1464.5199
target 1,DSC05367,2990.3218,1559.7675
target 1,DSC05368,2963.0806,1756.1774
target 1,DSC05369,2968.1169,1825.3116
target 1,DSC05370,2980.8015,1774.8334
target 1,DSC05371,2973.5078,1742.0906
target 1,DSC05414,288.5415,1043.6877
target 2,DSC05216,3570.4558,1047.8911
target 2,DSC05217,3534.4653,1452.5377
target 2,DSC05218,3541.5168,1533.5958
target 2,DSC05219,3534.0627,1675.9554
target 2,DSC05220,3541.6602,1855.6949
target 2,DSC05221,3543.4138,1896.1469
target 2,DSC05222,3549.991,1551.3436
target 2,DSC05224,3490.427,2029.048
target 2,DSC05225,3447.8916,2269.686
target 2,DSC05226,3417.0156,2376.7781
target 2,DSC05227,3438.9814,2011.7465
target 2,DSC05228,3480.2927,2237.1035
target 2,DSC05229,3505.322,2202.9099
target 2,DSC05230,3512.2625,2137.6733
target 2,DSC05231,3513.395,2515.5447
target 2,DSC05232,3511.5278,2779.6487
target 2,DSC05233,3508.3284,2715.6111
target 2,DSC05234,3505.4761,3111.2817
target 2,DSC05236,3748.0479,2506.5479
target 2,DSC05237,3954.408,2504.2744
target 2,DSC05238,3494.218,2481.512
target 2,DSC05239,3432.4548,2458.3748
target 2,DSC05240,3233.0935,2471.7917
target 2,DSC05241,3780.4851,2480.4944
target 2,DSC05242,3151.1741,2483.3684
target 2,DSC05243,2435.9329,2433.7417
target 2,DSC05244,2139.8462,2450.8574
target 2,DSC05245,2518.5242,2508.1707
target 2,DSC05279,3262.8394,2593.3667
target 2,DSC05280,3259.3701,2319.1106
target 2,DSC05281,3269.5684,2591.4438
target 2,DSC05282,3287.2195,2644.3647
target 2,DSC05283,3282.2603,2541.4822
target 2,DSC05284,3289.5237,2341.0291
target 2,DSC05285,3293.5095,2121.0225
target 2,DSC05286,3296.7019,2183.5291
target 2,DSC05287,3298.1917,2124.74
target 2,DSC05288,3349.9785,2109.7886
target 2,DSC05289,3350.6575,1996.271
target 2,DSC05290,3351.0591,2110.7893
target 2,DSC05291,3346.2219,2145.832
target 2,DSC05292,3335.282,1920.2968
target 2,DSC05293,3335.4006,1752.3397
target 2,DSC05294,3336.0535,1535.9225
target 2,DSC05295,3335.135,1306.0308
target 2,DSC05296,3322.8999,1323.3594
target 2,DSC05297,3368.843,1307.0118
target 2,DSC05298,3374.3647,1293.0352
target 2,DSC05299,3358.116,1304.4357
target 2,DSC05300,3330.5215,1352.2024
target 2,DSC05301,3328.7627,1142.9934
target 2,DSC05302,3305.9788,1164.1067
target 2,DSC05303,3286.3154,1115.5111
target 2,DSC05304,3230.083,1074.3484
target 2,DSC05305,3983.1821,2662.593
target 2,DSC05306,4032.71,2715.1604
target 2,DSC05307,3991.0603,2747.0894
target 2,DSC05308,3959.6892,2769.2258
target 2,DSC05309,4101.5967,2789.8958
target 2,DSC05310,4026.6523,2818.4055
target 2,DSC05311,3465.1895,2835.1138
target 2,DSC05312,3772.1821,2882.041
target 2,DSC05313,3741.4609,2945.5483
target 2,DSC05314,3542.1606,2959.9902
target 2,DSC05315,3450.1792,3003.7144
target 2,DSC05316,3134.4031,2984.0493
target 2,DSC05317,3105.6548,2968.5671
target 2,DSC05318,2898.7549,2924.7524
target 2,DSC05319,2859.1174,2901.134
target 2,DSC05320,2972.7996,2859.1272
target 2,DSC05321,3213.8684,2782.3755
target 2,DSC05322,2901.5879,2776.0811
target 2,DSC05382,1593.2991,1327.6005
target 2,DSC05383,1605.2932,1379.0978
target 2,DSC05384,1627.8867,1816.7966
target 2,DSC05385,1645.7267,1793.3634
target 2,DSC05386,1636.1528,1627.5798
target 2,DSC05387,1647.7926,1622.6676
target 2,DSC05388,1621.4779,1521.3918
target 2,DSC05389,1672.6926,1600.9938
target 2,DSC05390,1670.5416,1601.973
target 2,DSC05391,1675.0197,1787.6798
target 2,DSC05392,1656.1178,1853.7524
target 2,DSC05393,1725.8591,2159.8901
target 2,DSC05394,1660.604,2234.2842
target 2,DSC05395,1645.4974,2259.5535
target 2,DSC05396,1623.5947,2256.979
target 2,DSC05397,1642.7129,2415.9958
target 2,DSC05398,1638.7994,2527.4912
target 2,DSC05399,1656.7993,2731.9395
target 2,DSC05400,1677.9796,2832.6462
target 2,DSC05401,1737.0232,2993.23
target 2,DSC05402,1715.1683,2976.8518
target 2,DSC05403,1704.2,2886.9534
target 2,DSC05413,4211.145,2115.9531
target 2,DSC05443,2612.1953,3151.5
target 2,DSC05444,2441.7842,3185.0454
target 2,DSC05445,2479.8687,3191.2273
target 2,DSC05447,2610.793,3234.0391
target 2,DSC05448,2593.147,3234.2473
target 2,DSC05449,2601.0784,3225.2637
target 2,DSC05450,2515.7979,3046.0891
target 2,DSC05451,2818.9907,3066.4229
target 2,DSC05452,2756.136,3068.0632
target 2,DSC05453,3158.4321,3157.074
target 2,DSC05454,3121.4968,3082.0933
target 2,DSC05455,3553.0537,3080.7617
target 2,DSC05456,4010.2625,3200.9575
target 2,DSC05457,3913.4248,3080.677
target 2,DSC05458,4044.3408,2995.9395
target 2,DSC05484,3559.7832,3503.0664
target 2,DSC05485,3437.6685,3526.5369
target 2,DSC05486,3244.2991,3596.3594
target 2,DSC05487,3079.7307,3607.197
target 2,DSC05488,2897.4858,3540.7395
target 2,DSC05489,2746.2583,3537.7227
target 2,DSC05490,2710.625,3482.5
target 2,DSC05491,2550.885,3432.145
target 2,DSC05492,2456.5103,3369.1113
target 2,DSC05493,2467.5417,3267.1606
target 2,DSC05494,2388.4333,3172.9666
target 2,DSC05495,2492.9666,3099.8777
target 2,DSC05496,2523.2288,3039.7966
target 3,DSC05207,5619.875,819.5625
target 3,DSC05208,5580.5278,1302.5277
target 3,DSC05210,5552.5815,1563.2633
target 3,DSC05211,5608.2217,1622.6302
target 3,DSC05212,5695.4204,1540.5542
target 3,DSC05213,5770.689,1432.9425
target 3,DSC05214,5828.2026,1382.7782
target 3,DSC05215,5825.3921,1486.2755
target 3,DSC05216,5870.145,1612.5312
target 3,DSC05219,5674.6313,2357.1733
target 3,DSC05220,5670.769,2579.8799
target 3,DSC05243,3222.3984,616.7464
target 3,DSC05244,2880.4685,635.8036
target 3,DSC05246,3223.2773,715.8275
target 3,DSC05247,3032.9163,801.9
target 3,DSC05272,1217.3903,2725.6384
target 3,DSC05273,1181.7832,2303.0208
target 3,DSC05274,1228.7373,2324.7329
target 3,DSC05275,1231.566,2611.8987
target 3,DSC05276,1187.3391,2623.0601
target 3,DSC05277,1161.8727,2532.0146
target 3,DSC05278,1105.4611,2345.583
target 3,DSC05279,1175.5222,2244.3889
target 3,DSC05280,1163.677,1887.6958
target 3,DSC05282,1164.5101,2088.575
target 3,DSC05283,1173.2816,1927.6747
target 3,DSC05284,1169.1721,1665.6851
target 3,DSC05285,1162.8989,1379.0013
target 3,DSC05286,1204.0068,1425.661
target 3,DSC05316,3995.7839,798.312
target 3,DSC05317,3947.7422,760.9605
target 3,DSC05318,3643.7048,786.3854
target 3,DSC05319,3542.6404,795.5441
target 3,DSC05320,3568.0325,807.3089
target 3,DSC05321,3700.0435,824.1906
target 3,DSC05322,3254.6338,886.2772
target 3,DSC05323,3220.3521,888.9438
target 3,DSC05324,3187.8259,851.6285
target 3,DSC05325,2760.8196,858.9348
target 3,DSC05326,2760.9487,873.9508
target 3,DSC05327,2743.4648,876.9075
target 3,DSC05330,2675.2976,880.1569
